lemma,count
zen,2667
nachdem,2666
vermögen,2661
antwort,2658
erwarten,2656
din,2653
polnisch,2653
brauchen,2653
küche,2649
befinden,2649
vin,2647
ullstein,2646
fragen,2644
beschließen,2637
inhaber,2636
richtig,2631
jein,2626
licht,2624
sonnabend,2623
westen,2611
van,2610
erbeten,2609
mitteilung,2605
gesamt,2599
berg,2597
direktor,2594
otto,2593
meister,2591
daran,2586
dividende,2585
mittwoch,2585
höhe,2585
nacht,2571
zunächst,2569
offizier,2564
menge,2562
nähe,2558
gewinn,2555
vertrag,2549
rung,2545
vielleicht,2543
buch,2542
hans,2537
kgd,2536
bevölkerung,2533
wirklich,2531
gelingen,2529
gie,2528
möglichst,2520
sicher,2516
führer,2506
tat,2505
punkt,2502
grenze,2501
wee,2500
bereit,2499
gestrig,2498
feld,2497
vortrag,2496
dauernd,2494
genau,2494
übernehmen,2488
new,2483
gel,2471
wor,2469
artikel,2466
bahn,2465
ier,2459
note,2457
beifall,2457
ere,2453
vater,2451
beschluß,2450
tief,2447
hotel,2445
gering,2441
enen,2441
überhaupt,2435
gegner,2433
heit,2431
deut,2428
sohn,2426
amerikanisch,2426
troß,2425
lung,2424
bas,2424
gang,2420
bad,2416
vorhanden,2413
dagegen,2406
nit,2405
boden,2402
wan,2400
geh,2400
oft,2383
anfang,2380
fünf,2379
garten,2378
maßnahme,2372
kaum,2368
streik,2365
wis,2351
teppich,2351
verlin,2345
zwe,2342
kopf,2340
bahnhof,2333
not,2331
büro,2327
kennen,2319
meter,2319
bern,2317
entent,2315
leiden,2315
gefahr,2311
zentrum,2305
tätigkeit,2304
dritter,2302
zie,2302
ais,2295
win,2295
angestellter,2293
wirken,2288
beratung,2287
hof,2283
verlieren,2280
dadurch,2279
ergeben,2267
bisherig,2265
aind,2263
rufen,2257
mar,2256
zer,2253
tod,2241
friedrich,2239
vorstand,2239
rer,2236
hermann,2235
schmidt,2231
lange,2229
wille,2228
fin,2224
gewinnen,2222
abgeben,2221
professor,2221
mehrheit,2217
spielen,2215
weiß,2210
polen,2207
könig,2205
plan,2203
alliierter,2196
tür,2195
wiener,2192
mat,2186
pen,2182
annahme,2181
kunst,2180
größe,2178
außerdem,2174
erhöhung,2170
freiheit,2164
geist,2164
abgeordneter,2158
breit,2156
enthalten,2156
kauf,2150
nennen,2149
abe,2147
aer,2147
redner,2145
verlust,2142
möglichkeit,2141
halb,2136
ieee,2133
geb,2131
darin,2131
verfügung,2128
mon,2128
natürlich,2127
deshalb,2127
schaft,2123
stets,2122
macht,2120
erteilen,2119
familie,2116
diess,2116
versuchen,2113
gung,2111
eln,2108
raum,2108
ordnung,2108
leisten,2107
aue,2106
bestimmung,2106
doh,2106
durchaus,2104
konzert,2102
kommission,2098
behörde,2098
fassen,2093
dom,2092
enn,2080
führung,2079
burg,2077
berichten,2074
ullsteinhaus,2073
gelangen,2065
heutig,2065
rei,2064
gramm,2062
rie,2061
gericht,2052
carl,2050
armee,2048
zuni,2047
vorschlag,2039
del,2038
pflicht,2037
wet,2035
umstand,2034
eig,2034
ergebnis,2030
steuer,2030
mutter,2025
treiben,2022
fehlen,2019
erkennen,2017
dienstag,2016
villa,2014
dat,2011
fran,2011
nict,2007
fehr,2007
wel,2006
franz,2001
zahr,1999
gedanke,1995
bedeuten,1994
einfach,1993
naß,1992
brief,1989
vet,1986
ausschuß,1986
echt,1981
tisch,1980
ert,1980
dringend,1979
heer,1979
jeßen,1978
arm,1965
york,1962
eien,1961
nachricht,1954
lezt,1952
shon,1948
ann,1944
bund,1942
neus,1936
potsdamer,1935
gegenwärtig,1934
aud,1933
erhöhen,1931
bestimmt,1926
schluß,1925
laden,1923
verk,1922
une,1922
wesen,1922
programm,1921
aufnehmen,1921
endlich,1920
veröffentlichen,1919
grundlage,1918
gelegenheit,1917
filiale,1916
dern,1915
tätig,1914
eingetragen,1909
weder,1909
derlin,1908
ken,1907
kosten,1903
dienen,1901
gin,1899
wertheim,1898
klar,1896
bestimmen,1896
beziehung,1890
bekanntmachung,1887
persönlich,1887
mur,1886
gefangener,1885
bier,1884
anf,1883
preußen,1880
eat,1879
dig,1877
rechts,1875
fir,1874
osten,1872
direkt,1870
tel,1869
alter,1867
tor,1866
verstehen,1863
zahlreich,1863
herz,1862
auen,1860
deu,1859
nötig,1858
nunmehr,1857
tüchtig,1855
sißung,1855
vel,1854
letzter,1853
beginn,1852
münchen,1851
werfen,1851
nung,1850
vis,1848
dahin,1841
schiff,1840
innerer,1840
schließlich,1839
set,1836
jet,1832
bitte,1832
ablehnen,1828
schwarz,1824
sofortig,1824
mitte,1823
ait,1821
michen,1821
revolution,1820
demokratisch,1815
bau,1812
geschehen,1812
liefern,1808
hes,1807
ruhig,1807
vossisch,1806
net,1803
pfund,1802
norden,1801
len,1799
ele,1799
gemeinsam,1799
tatsache,1799
erheblich,1792
reise,1791
anzahl,1788
schr,1786
deren,1786
zus,1782
hoffen,1780
verbindung,1780
dit,1779
zun,1776
schuß,1775
rund,1775
amtsgericht,1772
rechnen,1771
wahr,1771
ede,1770
gas,1769
gruppe,1767
opfer,1765
maschine,1764
richtung,1764
mil,1761
sogar,1758
privat,1758
international,1756
frankfurt,1750
außerordentlich,1750
stein,1749
lieb,1748
haft,1747
müller,1745
oberer,1744
yon,1743
sieg,1743
hilfe,1742
vorläufig,1742
vertrauen,1738
wirkung,1738
feststellen,1738
verlassen,1733
kom,1733
zit,1732
stattfinden,1731
nachmittag,1730
dien,1730
iat,1725
bedeutung,1723
nein,1722
hinaus,1722
ane,1719
lauf,1719
reichstag,1717
soweit,1710
damals,1708
wirtschaft,1706
zahlen,1705
wesentlich,1704
klasse,1703
alls,1703
gewähren,1702
ers,1702
leipzig,1697
betonen,1695
aft,1694
auh,1693
dank,1692
möchten,1688
bewegung,1685
verordnung,1685
ban,1684
stimmung,1682
tie,1681
günstig,1677
var,1675
empfehlen,1674
erde,1674
eden,1672
fan,1670
erfüllen,1661
